City,Country,Date,Profit,Region,Sales,Segment
London,UK,2023-09-08,3314.44,North America,19530.4,Commercial
New York,USA,2023-08-24,4429.95,Europe,5008.29,Commercial
Los Angeles,USA,2023-06-26,7302.34,Asia-Pacific,10159.12,Residential
London,UK,2023-09-16,2378.48,Europe,18957.49,Commercial
Los Angeles,USA,2023-07-03,3509.84,Europe,10138.07,Commercial
Chicago,USA,2023-03-10,1345.58,North America,6595.65,Public
London,UK,2023-12-19,7208.18,North America,6105.52,Public
Chicago,USA,2023-09-26,6701.73,Asia-Pacific,15938.9,Public
Houston,USA,2023-02-03,3988.54,Europe,13900.32,Residential
Berlin,Germany,2023-06-30,2340.97,North America,16175.93,Residential
Sydney,Australia,2023-10-25,7152.98,North America,5040.62,Residential
Phoenix,USA,2023-09-11,5241.2,Europe,10034.84,Commercial
Los Angeles,USA,2023-08-20,2935.05,Europe,14594.02,Residential
Los Angeles,USA,2023-10-17,5362.18,Asia-Pacific,13609.83,Public
Tokyo,Japan,2023-02-03,5288.63,Europe,17892.11,Commercial
New York,USA,2023-10-19,2216.53,Europe,16460.86,Commercial
Paris,France,2023-05-10,7975.87,Europe,14235.41,Commercial
Berlin,Germany,2023-12-15,6859.38,Europe,15941.48,Public
Houston,USA,2023-03-30,6635.19,Europe,17808.26,Public
Paris,France,2023-08-26,7173.46,Europe,16157.07,Public
New York,USA,2023-11-27,2933.62,North America,5207.34,Commercial
Los Angeles,USA,2023-05-03,1796.15,Europe,15503.08,Commercial
Tokyo,Japan,2023-03-14,7562.62,Europe,14734.7,Residential
Los Angeles,USA,2023-01-05,5064.84,North America,11512.68,Public
