TransactionID,Date,State,City,ProductCategory,ProductName,SalesAmount,UnitsSold,ProfitMargin,CustomerSegment
10044,2023-08-25,New York,New York City,Fashion,Jeans,80,2,0.22,Corporate
10045,2023-09-01,Illinois,Chicago,HomeGoods,Couch,900,1,0.18,Individual
10046,2023-09-05,California,San Francisco,Electronics,Smartwatch,250,2,0.12,Small Business
10047,2023-09-10,Texas,Houston,Fashion,Sneakers,180,2,0.20,Corporate
10048,2023-09-15,Florida,Orlando,HomeGoods,Lamp,70,3,0.15,Individual
10049,2023-09-20,New York,Buffalo,Electronics,Laptop,1100,1,0.18,Corporate
10050,2023-09-25,Illinois,Springfield,Fashion,Jacket,250,1,0.22,Small Business
10051,2023-10-01,California,Los Angeles,HomeGoods,Bookshelf,500,1,0.20,Individual
10052,2023-10-05,Texas,Dallas,Electronics,Headphones,150,4,0.15,Corporate
10053,2023-10-10,Florida,Miami,Fashion,Shirt,80,2,0.22,Individual
10054,2023-10-15,New York,New York City,HomeGoods,Desk,400,1,0.18,Corporate
10055,2023-10-20,Illinois,Chicago,Electronics,Smartphone,600,2,0.18,Individual
10056,2023-10-25,California,San Francisco,Fashion,Hat,60,1,0.12,Corporate
10057,2023-11-01,Texas,Houston,HomeGoods,Rug,500,1,0.25,Small Business
10058,2023-11-05,Florida,Orlando,Electronics,Camera,500,1,0.15,Individual
10059,2023-11-10,New York,Buffalo,Fashion,Coat,350,1,0.22,Corporate
10060,2023-11-15,Illinois,Springfield,HomeGoods,Couch,700,1,0.18,Small Business
10061,2023-11-20,California,Los Angeles,Electronics,Laptop,1100,1,0.18,Individual
10062,2023-11-25,Texas,Dallas,Fashion,Shoes,100,2,0.20,Corporate
10063,2023-12-01,Florida,Miami,HomeGoods,Table Lamp,120,3,0.15,Individual
10064,2023-12-05,New York,New York City,Electronics,Smartphone,650,2,0.15,Corporate
10065,2023-12-10,Illinois,Chicago,Fashion,Watch,250,1,0.25,Individual
10066,2023-12-15,California,San Francisco,HomeGoods,Chair,250,1,0.22,Small Business
10067,2023-12-20,Texas,Houston,Electronics,Headphones,200,3,0.18,Individual
10068,2023-12-25,Florida,Orlando,Fashion,Shorts,50,5,0.22,Corporate
10069,2023-12-30,New York,Buffalo,HomeGoods,Bookshelf,450,1,0.25,Small Business
